日期,國家,城市,項目,次數,min,max,median,variance
2021-09-08,TW,Taitung City,pm25,25,21.0,61.0,30.0,1139.40
2021-03-07,TW,Taitung City,pm25,41,9.0,34.0,17.0,436.60
2021-07-09,TW,Taitung City,pm25,10,21.0,34.0,25.0,237.33
2021-08-25,TW,Taitung City,pm25,39,21.0,91.0,53.0,4582.08
2021-06-23,TW,Taitung City,pm25,31,9.0,30.0,13.0,440.37
2021-08-27,TW,Taitung City,pm25,11,21.0,30.0,25.0,84.55
2021-09-05,TW,Taitung City,pm25,3,21.0,21.0,21.0,0.00
2021-09-30,TW,Taitung City,pm25,47,25.0,63.0,46.0,898.18
2021-01-23,TW,Taitung City,pm25,33,9.0,38.0,17.0,676.25
2021-02-20,TW,Taitung City,pm25,47,13.0,63.0,46.0,1875.42
2021-04-23,TW,Taitung City,pm25,45,9.0,42.0,25.0,867.00
2021-04-20,TW,Taitung City,pm25,48,30.0,76.0,50.0,1372.32
2021-05-12,TW,Taitung City,pm25,48,9.0,53.0,30.0,1313.61
2021-08-24,TW,Taitung City,pm25,29,21.0,55.0,25.0,604.93
2021-01-29,TW,Taitung City,pm25,48,25.0,91.0,74.0,2747.07
2021-02-17,TW,Taitung City,pm25,48,21.0,74.0,42.0,2336.45
2021-03-20,TW,Taitung City,pm25,48,34.0,78.0,50.0,1018.68
2021-05-30,TW,Taitung City,pm25,48,9.0,53.0,34.0,998.93
2021-06-25,TW,Taitung City,pm25,31,9.0,25.0,13.0,275.61
2021-08-29,TW,Taitung City,pm25,15,21.0,38.0,25.0,254.29
2021-04-17,TW,Taitung City,pm25,45,9.0,63.0,25.0,2682.00
2021-05-17,TW,Taitung City,pm25,41,9.0,38.0,21.0,575.61
2021-06-02,TW,Taitung City,pm25,42,9.0,38.0,17.0,599.61
2021-08-20,TW,Taitung City,pm25,8,21.0,30.0,25.0,139.29
2021-07-08,TW,Taitung City,pm25,12,21.0,34.0,21.0,188.18
2021-10-03,TW,Taitung City,pm25,23,21.0,38.0,25.0,355.65
2021-04-15,TW,Taitung City,pm25,32,9.0,34.0,13.0,377.70
2021-06-11,TW,Taitung City,pm25,19,9.0,38.0,13.0,528.71
2021-06-17,TW,Taitung City,pm25,48,9.0,59.0,30.0,1282.55
2021-03-29,TW,Taitung City,pm25,48,34.0,85.0,59.0,915.49
2021-04-25,TW,Taitung City,pm25,44,9.0,50.0,21.0,874.01
2021-05-04,TW,Taitung City,pm25,48,9.0,38.0,21.0,516.60
2021-08-21,TW,Taitung City,pm25,11,21.0,38.0,25.0,302.54
2021-09-09,TW,Taitung City,pm25,10,21.0,34.0,21.0,213.33
2021-02-16,TW,Taitung City,pm25,48,21.0,63.0,46.0,960.32
2021-02-23,TW,Taitung City,pm25,47,9.0,46.0,30.0,778.98
2021-03-17,TW,Taitung City,pm25,48,17.0,57.0,34.0,922.76
2021-04-04,TW,Taitung City,pm25,46,13.0,99.0,61.0,4431.44
2021-06-05,TW,Taitung City,pm25,45,13.0,50.0,25.0,730.18
2021-04-27,TW,Taitung City,pm25,46,21.0,55.0,34.0,596.74
2021-09-04,TW,Taitung City,pm25,9,21.0,30.0,21.0,101.11
2021-09-24,TW,Taitung City,pm25,10,21.0,34.0,25.0,146.67
2021-02-07,TW,Taitung City,pm25,48,13.0,50.0,38.0,792.87
2021-04-29,TW,Taitung City,pm25,43,9.0,46.0,25.0,1067.30
2021-01-21,TW,Taitung City,pm25,43,9.0,46.0,17.0,1174.77
2021-04-01,TW,Taitung City,pm25,47,46.0,76.0,63.0,716.39
2021-01-01,TW,Taitung City,pm25,46,30.0,74.0,42.0,840.39
2021-01-06,TW,Taitung City,pm25,41,9.0,55.0,21.0,945.72
2021-01-10,TW,Taitung City,pm25,48,21.0,61.0,42.0,722.96
2021-04-19,TW,Taitung City,pm25,48,25.0,72.0,55.0,1686.66
